Occupation          ,FormID
# Classes
bos_support         ,BoSOfficerClass
bos_support         ,BoSProctorClass
bos_support         ,BoSScribeClass
bos_soldier         ,BoSSoldierClass
bos_support         ,BoSSquireClass
farmer              ,Child
citizen             ,Citizen
drifter             ,GenericCombatant
institute_assassin  ,CourserClass
drifter             ,FeralGhoulClass
minuteman           ,Minuteman
raider              ,raiderClass
guard               ,SupermutantClass
citizen             ,viciousDogClass

# Factions
drifter             ,AlienFaction
raider              ,Arena_Fight_Faction
raider              ,Arena_Rank_Faction
drifter             ,BoS100FeralGhoulFaction
bos_support         ,BoSBarracksScribesFaction
bos_support         ,BoSBridgeLancersFaction
bos_support         ,BoSDeckScribesFaction
scientist           ,BoSEngineeringScribeConvFaction
bos_support         ,BoSGantryScribesFaction
bos_support         ,BoSGenericNPCFaction
scientist           ,BoSGenericNPCFaction
doctor              ,BoSGenericNPCFaction
scientist           ,BoSLabScribeFaction
bos_support         ,BoSMessOfficerFaction
bos_support         ,BoSPrimeScribesFaction
bos_soldier         ,BoSPrydwenSpecialCombatFaction
scientist           ,BoSScienceScribeConvFaction
bos_soldier         ,BoSSoldierConvFaction
bos_support         ,BoSSquireFaction
captive             ,BoundCaptiveFaction
bos_support         ,BrootherhoodofSteelFaction
bos_soldier         ,BunkerHillBoSFaction
captive             ,BunkerHillFF03PrisonerFaction
citizen             ,BunkerHillGenericNPCFaction
scientist           ,BunkerHillInstituteFaction
railroad_agent      ,BunkerHillRRFaction
drifter             ,CambridgeDrifterFaction
captive             ,CaptiveFaction
drifter             ,CaravanFaction
guard               ,CaravanGuardFaction
drifter             ,CaravanLeaderFaction
drifter             ,CC_PetDogFaction
cultist             ,ChildrenOfAtomFaction
cultist             ,ChildrenOfAtomFriendFaction
citizen             ,CovenantFaction
citizen             ,CovenantFactionGenericNPCs
citizen             ,CovenantFactionMurphies
guard               ,CovenantHQSecurityFaction
raider              ,CZRaiderFaction
raider              ,CZ_CombatantFaction
raider              ,CZ_Faction
bos_soldier         ,DiamondCityBoSEnvoyFaction
minuteman           ,DiamondCityMinutemenEnvoyFaction
railroad_agent      ,DiamondCityRailroadEnvoyFaction
institute_soldier   ,DiamondCitySynthEnvoyFaction
cultist             ,DmndAllFaithsChapelFaction
citizen             ,DmndBarPatronsFaction
drifter             ,DmndBarPatronsFaction
farmer              ,DmndFarmerFaction
drifter             ,DmndFisherFaction
citizen             ,DmndGenericNPCFaction
drifter             ,DmndGenericNPCFaction
citizen             ,DmndNoodlePatronFaction
drifter             ,DmndNoodlePatronFaction
citizen             ,DmndSchoolChildrenFaction
citizen             ,DmndShoppersFaction
drifter             ,DmndShoppersFaction
citizen             ,DmndWallAudienceFaction
drifter             ,DmndWallAudienceFaction
cultist             ,DN019CultistFaction
cultist             ,DN019CultistLeaderFaction
raider              ,RaiderFaction
drifter             ,ScavengerAttackFaction
raider              ,DN035_EasyCityDownsRaiderFaction
scientist           ,DN047ChemLabWorkerFaction
raider              ,DN054AtomCatFaction
raider              ,DN058RaiderFaction
drifter             ,DN072_GlowingOneFaction
captive             ,DN078TunnelWorkerFaction
raider              ,DN101_RaiderFaction
gunner              ,DN102_FrenziedGunnerFaction
raider              ,DN121_SaugusBossRoomFaction
mercenary           ,DN123_NessMercenaryFaction
raider              ,DN123_SkylanesRaiderFaction
railroad_agent      ,DN130_TempRailroadFaction
scientist           ,DN136_ScientistFaction
scientist           ,DN136_ScientistFaction02
scientist           ,DN136_ScientistFaction03
scientist           ,DN136_ScientistFaction04
scientist           ,DN136_ScientistFaction05
cultist             ,DN166AtomFaction
drifter             ,DogFaction
drifter             ,DogmeatFaction
drifter             ,DrumlinChemDealerFaction
citizen             ,DrumlinDinerFaction
farmer              ,Farm01Faction
farmer              ,Farm02Faction
farmer              ,Farm02FactionBed
farmer              ,Farm03Faction
farmer              ,Farm04Faction
farmer              ,Farm05Faction
farmer              ,Farm06Faction
citizen             ,FarmerGenericChild
farmer              ,FarmFactionAbernathy
farmer              ,FarmFactionFinch
farmer              ,FarmFactionGraygarden
farmer              ,FarmFactionSlog
farmer              ,FarmFactionWarwick
drifter             ,FeralGhoulFaction
citizen             ,GenericNPCFaction
drifter             ,GenericNPCFaction
farmer              ,GenericNPCFaction
citizen             ,GhoulFaction
drifter             ,GhoulFaction
farmer              ,GhoulFaction
citizen             ,GhoulNonFeralFaction
drifter             ,GhoulNonFeralFaction
farmer              ,GhoulNonFeralFaction
cultist             ,GlowingSeaChildrenFaction
citizen             ,GoodneighborGenericNPCFaction
drifter             ,GoodneighborGenericNPCFaction
guard               ,GoodneighborGuardFaction
drifter             ,GoodneighborMemoryDenMiscPodOwnerFaction
citizen             ,GoodneighborMemoryDenMiscPodOwnerFaction
citizen             ,GoodneighborNPCShoppersFaction
drifter             ,GoodneighborNPCShoppersFaction
guard               ,GuardFaction
gunner              ,GunnerFaction
guard               ,Inst301BossGuardFaction
institute_assassin  ,Inst301CourserFaction
guard               ,Inst301GuardEnemyFaction
bos_soldier         ,Inst307_BrotherhoodofSteelScoutFaction
bos_soldier         ,Inst307_BrotherhoodofSteelScoutVertibirdFaction
scientist           ,InstituteFaction
scientist           ,InstituteMaintenanceFaction
scientist           ,InstituteMaintenanceSynthFaction
captive             ,InstituteRefugeeFaction
drifter             ,InstituteRefugeeFaction
minuteman           ,Min02_MinutemenFaction
